generation	best	sd	avg	cv	catastrophe
0	1548	184.51688598098877	1304.94	1413.9875088585588	NaN
1	1548	167.09706125120178	1448.08	1153.9214770675776	NaN
2	1744	157.3036935999979	1532.05	1026.753001533879	NaN
3	1765	119.3575948758413	1620.37	736.6070396010869	NaN
4	1778	158.85007733931727	1655.92	959.2859397755766	NaN
5	1778	116.58127437694932	1725.28	675.7237919465207	NaN
6	1778	116.77610624566566	1755.74	665.1104733369727	NaN
7	1844	101.04051142732278	1799.13	561.6076182784055	NaN
8	1924	103.45692462336804	1843.09	561.3232377331983	NaN
9	1964	92.7833421787477	1876.17	494.5359012176279	NaN
10	1964	55.02972199666561	1920.18	286.58626793668094	NaN
11	2004	94.56738071316924	1925.98	491.0091522921798	NaN
12	2027	56.61481674215219	1970.93	287.2492515825128	NaN
13	2027	93.3405841339374	1984.8	470.2770260678023	NaN
14	2027	89.77022520487144	1986.44	451.91511047336655	NaN
15	2036	55.93746418090383	2009.49	278.36647199490335	NaN
16	2051	46.950139036594514	2025.26	231.8227735529982	NaN
17	2051	46.55811075170123	2035.33	228.7496904762433	NaN
18	2066	60.146302270111974	2041.59	294.6051962936338	NaN
19	2066	41.62421959107049	2053.99	202.6505464538313	NaN
20	2076	33.34473138459975	2068.74	161.18377072324094	NaN
21	2094	16.150463607818654	2082.47	77.55436384590729	NaN
22	2094	21.26518233634454	2090.21	101.73706152178269	NaN
23	2106	14.563337807000432	2095.01	69.51440712455039	NaN
24	2106	4.7159625772797416	2102.89	22.426102065632257	NaN
25	2107	1.7436754400988865	2105.9	8.279953654489228	NaN
26	2107	1.5678589918043702	2106.92	7.441473771212813	NaN
27	2107	2.0111808682583665	2107.34	9.543694269830054	NaN
28	2107	3.1446603773522024	2108.1	14.917036086296678	NaN
29	2107	4.648231987117318	2110.1	22.0284914796328	NaN
30	2117	4.7609522856952315	2113.6	22.525323077664797	NaN
31	2117	0	2117	0	2117
32	2117	332.4813864312292	1580.08	2104.2060302720697	NaN
33	2117	261.20117619268956	1885.19	1385.5429754703216	NaN
34	2117	101.57988894650278	2072.97	490.02102754262137	NaN
35	2195	34.464707464391175	2109.89	163.34836159416452	NaN
36	2195	59.296954288384676	2105.35	281.6489148520896	NaN
37	2195	37.238921476424	2112.49	176.27975269196068	NaN
38	2195	36.51445541899065	2115.26	172.62395837386725	NaN
39	2195	36.35442118084045	2122.55	171.27710150922448	NaN
40	2195	60.29346079088025	2122.46	284.07348449855476	NaN
41	2195	53.88921951372075	2146.45	251.06207698162433	NaN
42	2195	30.073539495340036	2186.92	137.5154989452748	NaN
43	2197	37.0574547088025	2185.24	169.5807083377684	NaN
44	2197	50.76240058479614	2179.13	232.94801404595475	NaN
45	2197	51.49645079463676	2181.88	236.01871227857055	NaN
46	2277	64.27018332513502	2191.99	293.2047286946338	NaN
47	2277	79.43655813085539	2208.57	359.6741698513309	NaN
48	2278	43.424961401563436	2251.9	192.83698832791612	NaN
49	2278	38.7825783546992	2266.55	171.10841743927642	NaN
50	2278	38.44089126453913	2268.57	169.44987928315692	NaN
51	2278	35.99491967520197	2269.39	158.61055030295353	NaN
52	2278	20.085333108031996	2275.56	88.26545161644606	NaN
53	2278	1.0317681205316698	2277.81	4.529649621924874	NaN
54	2278	19.99923988454548	2275.99	87.87050858986852	NaN
55	2278	0	2278	0	2278
56	2278	382.07798809915624	1611.13	2371.490743137774	NaN
57	2278	318.1912873627048	1914.96	1661.6080093720227	NaN
58	2278	142.84578673478188	2175.48	656.6173292091028	NaN
59	2278	112.16462648421489	2228.16	503.3957457463328	NaN
60	2278	44.13303465064183	2269.85	194.4315027452996	NaN
61	2278	17.13925142455001	2274.94	75.33935587114391	NaN
62	2278	9.999489885979079	2276.99	43.91538779695598	NaN
63	2278	1.4839205511145819	2277.8	6.514709593092378	NaN
64	2278	1.4839205511145825	2277.8	6.51470959309238	NaN
65	2278	0.0999999999999998	2278.01	0.43897963573469734	NaN
66	2278	0.14070529413628977	2278.02	0.6176648762358968	NaN
67	2278	0.23868325657594194	2278.06	1.0477478932773587	NaN
68	2279	0.3775251680686371	2278.17	1.6571422153247437	NaN
69	2279	0.4878317312145632	2278.38	2.1411341883907125	NaN
70	2279	0.4605661864718389	2278.7	2.0211795605908582	NaN
71	2279	0.19694638556693245	2278.96	0.8641941305109894	NaN
72	2279	0	2279	0	2279
73	2279	370.40832764925676	1524.29	2430.038428706196	NaN
74	2279	303.1415810835231	1778.7	1704.2872945607637	NaN
75	2279	238.16680577640824	1974.63	1206.133836599303	NaN
