generation	best	sd	avg	cv	catastrophe
0	1363	197.09336632800466	1383.77	1424.321717684331	NaN
1	1726	188.61227827252262	1480.12	1274.3039636821516	NaN
2	1726	180.1215571594232	1555.68	1157.8316694913042	NaN
3	1853	155.94298977705301	1652.81	943.5022160868642	NaN
4	1853	159.3776710213888	1721.52	925.7962209058785	NaN
5	1853	140.0232303959063	1770	791.091697152013	NaN
6	2046	146.65870880614924	1811.03	809.8082793004492	NaN
7	2046	158.1147170170245	1838.67	859.9407017954527	NaN
8	2115	125.8540163615903	1898.17	663.0281606051633	NaN
9	2115	121.26317485435376	1954.3	620.4941659640473	NaN
10	2115	120.88390958253953	2006.64	602.4195151224909	NaN
11	2115	94.08344619796219	2043.61	460.3786740031718	NaN
12	2126	92.98268058562783	2066.17	450.02434739458914	NaN
13	2156	116.71468232706229	2085.31	559.6994323484868	NaN
14	2236	112.69328132841665	2114.89	532.8564669009577	NaN
15	2236	101.1556436508821	2150.02	470.48698919490096	NaN
16	2259	71.8744303446903	2199.16	326.82674450558534	NaN
17	2259	80.04949163555699	2208.59	362.44613819476217	NaN
18	2259	57.92062140411119	2228.36	259.9248837894738	NaN
19	2259	46.83775025003709	2241.77	208.93200573670399	NaN
20	2268	65.73797389729327	2242.44	293.15376954252184	NaN
21	2273	75.47651718557663	2242.68	336.54608408500826	NaN
22	2278	41.64740888298653	2261.72	184.14042800605972	NaN
23	2285	110.89511788945975	2252.99	492.21309410809533	NaN
24	2285	25.437584536875885	2273.8	111.87256811010592	NaN
25	2286	30.548758840035827	2274.84	134.289703188074	NaN
26	2295	22.229916597216285	2282.25	97.40351231116786	NaN
27	2298	116.80246425724782	2270.95	514.3330511779116	NaN
28	2298	21.952830516285765	2287.05	95.98754078960128	NaN
29	2298	20.3556658282929	2291.48	88.83195938124224	NaN
30	2308	102.81222021852572	2273.53	452.21404696012684	NaN
31	2309	67.32140608433335	2290.1	293.9671022415325	NaN
32	2309	31.410573719913835	2299.89	136.57424363736453	NaN
33	2309	1.5374122295716148	2308	6.6612314972773605	NaN
34	2309	0.5009082659620326	2308.54	2.169805443969057	NaN
